is_sarcastic,headline,DeepSeek_Sarcasm,Gemini_Sarcasm,Openai_Sarcasm,llama_Sarcasm
FALSE,former versace store clerk sues over secret 'black code' for minority shoppers,TRUE,FALSE,FALSE,TRUE
FALSE,"the 'roseanne' revival catches up to our thorny political mood, for better and worse",FALSE,TRUE,FALSE,TRUE
TRUE,mom starting to fear son's web series closest thing she will have to grandchild,TRUE,TRUE,TRUE,TRUE
TRUE,"boehner just wants wife to listen, not come up with alternative debt-reduction ideas",TRUE,TRUE,TRUE,TRUE
FALSE,j.k. rowling wishes snape happy birthday in the most magical way,FALSE,TRUE,FALSE,TRUE
FALSE,advancing the world's women,FALSE,TRUE,FALSE,TRUE
FALSE,the fascinating case for eating lab-grown meat,FALSE,TRUE,FALSE,TRUE
FALSE,"this ceo will send your kids to school, if you work for his company",TRUE,TRUE,FALSE,TRUE
TRUE,top snake handler leaves sinking huckabee campaign,TRUE,TRUE,FALSE,TRUE
FALSE,friday's morning email: inside trump's presser for the ages,TRUE,TRUE,FALSE,TRUE
FALSE,airline passengers tackle man who rushes cockpit in bomb threat,TRUE,TRUE,FALSE,TRUE
FALSE,facebook reportedly working on healthcare features and apps,FALSE,FALSE,FALSE,FALSE
FALSE,north korea praises trump and urges us voters to reject 'dull hillary',TRUE,TRUE,FALSE,TRUE
FALSE,"actually, cnn's jeffrey lord has been 'indefensible' for a while",TRUE,TRUE,TRUE,TRUE
FALSE,barcelona holds huge protest in support of refugees,FALSE,FALSE,FALSE,TRUE
TRUE,nuclear bomb detonates during rehearsal for 'spider-man' musical,TRUE,TRUE,FALSE,TRUE
TRUE,cosby lawyer asks why accusers didn't come forward to be smeared by legal team years ago,TRUE,FALSE,TRUE,TRUE
TRUE,"stock analysts confused, frightened by boar market",TRUE,FALSE,FALSE,TRUE
FALSE,bloomberg's program to build better cities just got bigger,FALSE,TRUE,FALSE,TRUE
FALSE,craig hicks indicted,FALSE,FALSE,FALSE,TRUE
TRUE,courtroom sketch artist has clear manga influences,TRUE,FALSE,FALSE,TRUE
TRUE,trump assures nation that decision for syrian airstrikes came after carefully considering all his passing whims,TRUE,FALSE,TRUE,TRUE
FALSE,qatar deporting dutch woman who reported she was drugged and raped,TRUE,FALSE,FALSE,FALSE
FALSE,this is why you shouldn't go to the circus,FALSE,TRUE,FALSE,TRUE
FALSE,ted cruz hits the panic button: 'we could lose both houses of congress',FALSE,TRUE,FALSE,TRUE
FALSE,why writers must plan to be surprised,TRUE,TRUE,FALSE,TRUE
FALSE,obama visits arlington national cemetery to honor veterans,FALSE,TRUE,FALSE,TRUE
TRUE,ex-con back behind bar,TRUE,FALSE,FALSE,TRUE
TRUE,"after careful consideration, bush recommends oil drilling",FALSE,FALSE,FALSE,TRUE
FALSE,remembrance is the beginning of the task,FALSE,FALSE,FALSE,TRUE
