is_sarcastic,headline,DeepSeek_Sarcasm,Gemini_Sarcasm,Openai_Sarcasm,llama_Sarcasm
True,rainstorm is exactly what I wanted today,False,True,False,True
True,My favorite thing is when printer jam happens,True,True,True,False
False,Nothing beats a rainstorm Monday morning,False,True,False,False
False,Nothing beats a meeting Monday morning,False,True,True,True
False,Nothing beats a printer jam Monday morning,True,True,False,False
True,I totally needed another alarm clock in my life,True,False,False,True
True,Best day ever: traffic jam ruined it,True,True,False,True
False,I just love waiting in line for hours at the coffee spill store,False,False,True,False
False,alarm clock is exactly what I wanted today,False,False,False,False
False,I totally needed another alarm clock in my life,True,True,False,False
False,I totally needed another rainstorm in my life,True,True,False,False
True,printer jam is exactly what I wanted today,True,False,False,False
True,My favorite thing is when printer jam happens,False,True,False,True
True,My favorite thing is when meeting happens,True,False,True,True
False,Nothing beats a traffic jam Monday morning,True,True,True,False
True,I totally needed another rainstorm in my life,False,True,True,False
False,Nothing beats a coffee spill Monday morning,False,True,True,False
False,I totally needed another coffee spill in my life,False,False,True,False
False,Best day ever: traffic jam ruined it,False,False,False,True
False,My favorite thing is when coffee spill happens,True,True,True,False
True,Nothing beats a coffee spill Monday morning,False,False,True,False
False,I totally needed another alarm clock in my life,False,True,False,True
False,I totally needed another traffic jam in my life,False,False,True,True
True,I just love waiting in line for hours at the meeting store,False,False,True,False
True,I totally needed another meeting in my life,True,False,False,True
False,rainstorm is exactly what I wanted today,True,True,True,True
False,I totally needed another meeting in my life,False,False,True,False
False,My favorite thing is when rainstorm happens,True,False,True,False
False,My favorite thing is when printer jam happens,True,True,True,True
False,rainstorm is exactly what I wanted today,True,True,False,True
True,I totally needed another coffee spill in my life,False,True,False,True
False,Best day ever: meeting ruined it,False,False,True,False
False,I just love waiting in line for hours at the alarm clock store,False,False,True,True
False,Nothing beats a alarm clock Monday morning,True,True,False,False
True,Nothing beats a coffee spill Monday morning,False,False,True,False
False,meeting is exactly what I wanted today,False,True,True,False
False,I just love waiting in line for hours at the rainstorm store,False,True,False,False
False,I just love waiting in line for hours at the coffee spill store,True,False,False,False
True,My favorite thing is when printer jam happens,True,True,False,True
True,rainstorm is exactly what I wanted today,True,True,False,False
False,I totally needed another printer jam in my life,True,False,False,True
True,I just love waiting in line for hours at the traffic jam store,True,False,True,True
True,Best day ever: alarm clock ruined it,False,True,False,False
True,I totally needed another meeting in my life,True,True,False,True
False,Best day ever: traffic jam ruined it,True,True,True,True
True,alarm clock is exactly what I wanted today,True,False,True,False
False,I just love waiting in line for hours at the alarm clock store,True,True,True,False
False,I totally needed another coffee spill in my life,False,False,False,True
True,I just love waiting in line for hours at the traffic jam store,True,False,True,False
False,Best day ever: traffic jam ruined it,False,True,True,True
False,Nothing beats a alarm clock Monday morning,False,True,True,True
True,Nothing beats a meeting Monday morning,True,True,False,True
True,Best day ever: meeting ruined it,True,True,False,False
False,Nothing beats a meeting Monday morning,False,True,True,True
True,rainstorm is exactly what I wanted today,False,False,False,True
False,coffee spill is exactly what I wanted today,True,True,False,True
False,meeting is exactly what I wanted today,False,True,True,True
True,I totally needed another coffee spill in my life,False,True,False,False
True,I just love waiting in line for hours at the alarm clock store,True,False,True,False
False,Best day ever: coffee spill ruined it,True,False,True,True
False,I totally needed another coffee spill in my life,False,False,False,False
True,Nothing beats a coffee spill Monday morning,False,True,True,False
True,coffee spill is exactly what I wanted today,True,False,False,True
True,I just love waiting in line for hours at the traffic jam store,True,True,True,False
False,My favorite thing is when traffic jam happens,False,False,False,True
True,coffee spill is exactly what I wanted today,True,False,False,True
False,I just love waiting in line for hours at the rainstorm store,True,True,False,False
False,My favorite thing is when meeting happens,False,True,True,False
False,Nothing beats a rainstorm Monday morning,True,True,True,True
False,I just love waiting in line for hours at the rainstorm store,False,True,False,False
True,My favorite thing is when rainstorm happens,False,True,True,True
False,Nothing beats a alarm clock Monday morning,True,True,False,False
True,I totally needed another meeting in my life,False,False,True,False
True,I totally needed another printer jam in my life,False,True,True,True
True,Best day ever: printer jam ruined it,False,False,True,True
False,I totally needed another printer jam in my life,False,True,True,True
False,I totally needed another coffee spill in my life,True,True,False,True
True,I just love waiting in line for hours at the alarm clock store,True,False,True,True
True,I totally needed another alarm clock in my life,False,True,True,False
True,I just love waiting in line for hours at the meeting store,True,False,False,False
True,I totally needed another meeting in my life,True,True,False,False
False,I totally needed another meeting in my life,True,True,True,True
True,Best day ever: rainstorm ruined it,False,False,False,True
False,printer jam is exactly what I wanted today,True,False,False,False
True,I just love waiting in line for hours at the meeting store,False,False,True,False
True,Best day ever: printer jam ruined it,False,False,True,False
True,I just love waiting in line for hours at the alarm clock store,False,False,False,False
False,Nothing beats a rainstorm Monday morning,True,False,False,False
False,I totally needed another alarm clock in my life,False,True,True,False
False,My favorite thing is when rainstorm happens,True,True,False,True
True,Nothing beats a meeting Monday morning,True,False,True,True
True,coffee spill is exactly what I wanted today,False,False,False,True
